ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
0,Forced air,Central,Partially finished,Carpet,Laminate,Colonial,No Data,No Data,Composition,20037.6,Single Family,2488,3,4,2,1,0,Patio,Metal,Shingle,"11926 Frost Dr, Bowie, MD 20720",Frost Dr,Bowie,MD 20720,1988,167,415000,https://www.zillow.com/homedetails/11926-Frost-Dr-Bowie-MD-20720/37499959_zpid/,19-Dec
1,Other,Central,Partially finished,Carpet,Hardwood,Other,Brick,Brick,Shake/Shingle,3049,Single Family,1568,4,3,4,0,3,Patio,Brick,Brick,"12333 Quarterback Ct, Bowie, MD 20720",Quarterback Ct,Bowie,MD 20720,1995,233,365000,https://www.zillow.com/homedetails/12333-Quarterback-Ct-Bowie-MD-20720/37504497_zpid/,19-Dec
2,Heat pump,Central,Partially finished,Carpet,Wood Floors,Colonial,Other,Other,Shake/Shingle,10454,Single Family,2243,3,4,2,1,3,Patio,Other,Other,"12733 Hillmeade Station Dr, Bowie, MD 20720",Hillmeade Station Dr,Bowie,MD 20720,1988,165,370000,https://www.zillow.com/homedetails/12733-Hillmeade-Station-Dr-Bowie-MD-20720/37493106_zpid/,19-Dec
3,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,No Data,No Data,Other,14374.8,Single Family,2872,5,5,5,0,3,None,Other,Other,"7900 Driscoll Dr, Bowie, MD 20720",Driscoll Dr,Bowie,MD 20720,1995,131,375077,https://www.zillow.com/homedetails/7900-Driscoll-Dr-Bowie-MD-20720/37499895_zpid/,19-Dec
4,Baseboard,No Data,Partially finished,Carpet,Linoleum / Vinyl,Raised Ranch/Rambler,Other,Other,Shake/Shingle,9583,Single Family,1510,2,3,1,1,2,Patio,Cement concrete,Metal,"8513 Zug Rd, Bowie, MD 20720",Zug Rd,Bowie,MD 20720,1981,215,325000,https://www.zillow.com/homedetails/8513-Zug-Rd-Bowie-MD-20720/37493742_zpid/,19-Dec
5,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,No Data,No Data,Asphalt,10018,Single Family,1864,4,4,4,0,2,Patio,Other,Other,"8605 Cory Dr, Bowie, MD 20720",Cory Dr,Bowie,MD 20720,1994,228,425000,https://www.zillow.com/homedetails/8605-Cory-Dr-Bowie-MD-20720/37500061_zpid/,19-Nov
6,Forced air,Central,Finished basement,Carpet,Wood Floors,Colonial,Other,Other,Composition,10846,Single Family,5486,5,5,4,1,2,Patio,Brick,Shingle,"11907 Backus Dr, Bowie, MD 20720",Backus Dr,Bowie,MD 20720,1996,87,480000,https://www.zillow.com/homedetails/11907-Backus-Dr-Bowie-MD-20720/37500088_zpid/,19-Nov
7,Forced air,Central,Partially finished,No Data,No Data,Other,Other,Other,Shake/Shingle,3750,Multi Family,1304,2,2,1,1,2,Water,Other,Other,"8722 Maple Ave, Bowie, MD 20720",Maple Ave,Bowie,MD 20720,1884,99,129000,https://www.zillow.com/homedetails/8722-Maple-Ave-Bowie-MD-20720/37496308_zpid/,19-Nov
8,Forced air,Central,None,No Data,No Data,Colonial,Vinyl Siding,Brick,Shake/Shingle,64904.4,Single Family,3276,3,4,3,0,2,None,Brick,Vinyl,"8061 Springfield Rd, Glenn Dale, MD 20769",Springfield Rd,Glenn Dale,MD 20769,1966,162,530000,https://www.zillow.com/homedetails/8061-Springfield-Rd-Glenn-Dale-MD-20769/37501337_zpid/,19-Oct
9,Forced air,Central,Partially finished,No Data,No Data,Traditional,Aluminum Siding,Brick,Shake/Shingle,2879,Multi Family,1708,4,3,3,1,3,Patio,Brick,Brick,"7912 Quill Point Dr, Bowie, MD 20720",Quill Point Dr,Bowie,MD 20720,1993,186,317200,https://www.zillow.com/homedetails/7912-Quill-Point-Dr-Bowie-MD-20720/37494461_zpid/,19-Oct
10,Forced air,Central,Partially finished,Hardwood,Hardwood,Colonial,No Data,No Data,Shake/Shingle,31363.2,Single Family,2692,3,6,3,0,3,Patio,Other,Other,"13033 Old Fletchertown Rd, Bowie, MD 20720",Old Fletchertown Rd,Bowie,MD 20720,2001,160,430000,https://www.zillow.com/homedetails/13033-Old-Fletchertown-Rd-Bowie-MD-20720/37501461_zpid/,19-Oct
11,Forced air,Central,Partially finished,Wood Floors,Wood Floors,Colonial,Other,Other,Other,9644,Single Family,5262,4,5,4,0,3,Patio,Other,Other,"12106 Quick Fox Ln, Bowie, MD 20720",Quick Fox Ln,Bowie,MD 20720,1992,95,500000,https://www.zillow.com/homedetails/12106-Quick-Fox-Ln-Bowie-MD-20720/37494676_zpid/,19-Oct
